COURSE_SUBJECT,COURSE_NUMBER,SECTION_NUMBER,SECTION_CRN,SECTION_TITLE,SECTION_CREDIT_HOURS,MEET_DAYS,MEET_TIMES,MEET_BUILDING,MEET_ROOM,INSTRUCTOR,INSTRUCTOR2,INSTRUCTOR3,FOOTNOTES,FOOTNOTES1,FOOTNOTES2,FOOTNOTES3,FOOTNOTES4,NOTE1,NOTE2,NOTE3,NOTE4,COURSE_ATTRIBUTES,COURSE_ATTRIBUTES1,COURSE_ATTRIBUTES2,COURSE_ATTRIBUTES3,COURSE_ATTRIBUTES4,DESCRIPTION1,DESCRIPTION2,DESCRIPTION3,DESCRIPTION4,MAX_ENROLL,CURR_ENROLL,REMAINING,MAJOR_CODE
AFR,266,0,25691,Africa Shoots Back (in transl),1,  T  R  ,1215 - 0130pm,CHAM,1062,Fache C,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT VPRQ,CULT,VPRQ,,,Cultural Diversity,Visual and Performing Arts (Class of 2016 and later),,,9,10,-1,AFR
AFR,282,0,10003,African-Am Lit: 18th-19th Cent,1,  T  R  ,1215 - 0130pm,CHAM,1027,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,14,1,AFR
AFR,282,0,10003,African-Am Lit: 18th-19th Cent,1,  T  R  ,1215 - 0130pm,CHAM,1027,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,14,1,LIT
AFR,282,0,10003,African-Am Lit: 18th-19th Cent,1,  T  R  ,1215 - 0130pm,CHAM,1027,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,14,1,ENG
AFR,282,0,16290,African-Am Lit: 18th-19th Cent,1,  T  R  ,0140 - 0255pm,CHAM,3234,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,12,3,AFR
AFR,282,0,16290,African-Am Lit: 18th-19th Cent,1,  T  R  ,0140 - 0255pm,CHAM,3234,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,12,3,LIT
AFR,282,0,16290,African-Am Lit: 18th-19th Cent,1,  T  R  ,0140 - 0255pm,CHAM,3234,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,12,3,ENG
AFR,286,0,20001,African-Amer Lit Since 1900,1,  T  R  ,0940 - 1055am,CHAM,2130,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,30,30,0,LIT
AFR,286,0,20001,African-Amer Lit Since 1900,1,  T  R  ,0940 - 1055am,CHAM,2130,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,30,30,0,ENG
AFR,286,0,20001,African-Amer Lit Since 1900,1,  T  R  ,0940 - 1055am,CHAM,2130,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,30,30,0,AFR
AFR,286,0,25782,African-Amer Lit Since 1900,1, M  W  F ,0930 - 1020am,CHAM,3155,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,15,0,ENG
AFR,286,0,25782,African-Amer Lit Since 1900,1, M  W  F ,0930 - 1020am,CHAM,3155,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,15,0,LIT
AFR,286,0,25782,African-Amer Lit Since 1900,1, M  W  F ,0930 - 1020am,CHAM,3155,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,15,0,AFR
AFR,292,0,16319,"""Fake News"" Journalism &Ethics",1, M     ,0130 - 0420pm,CHAM,B022,Bailey I,,, ,,,,,,,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,14,1,ENG
AFR,292,0,16319,"""Fake News"" Journalism &Ethics",1, M     ,0130 - 0420pm,CHAM,B022,Bailey I,,, ,,,,,,,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,14,1,COM
AFR,292,0,16319,"""Fake News"" Journalism &Ethics",1, M     ,0130 - 0420pm,CHAM,B022,Bailey I,,, ,,,,,,,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,14,1,AFR
AFR,297,0,10546,Caribbean Literature,1,  T  R  ,0940 - 1055am,CHAM,2234,Flanagan B,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,13,2,AFR
AFR,297,0,10546,Caribbean Literature,1,  T  R  ,0940 - 1055am,CHAM,2234,Flanagan B,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,13,2,ENG
AFR,297,0,10546,Caribbean Literature,1,  T  R  ,0940 - 1055am,CHAM,2234,Flanagan B,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,13,2,LIT
AFR,297,0,16316,Caribbean Literature,1,  T  R  ,1215 - 0130pm,CHAM,1006,Flanagan B,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,10,5,LIT
AFR,297,0,16316,Caribbean Literature,1,  T  R  ,1215 - 0130pm,CHAM,1006,Flanagan B,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,10,5,AFR
AFR,297,0,16316,Caribbean Literature,1,  T  R  ,1215 - 0130pm,CHAM,1006,Flanagan B,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,15,10,5,ENG
AFR,298,0,16317,Race and American Journalism,1,  T    ,0140 - 0420pm,CHAM,3187,Bailey I,,, ,,,,,,,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,13,2,AFR
AFR,298,0,16317,Race and American Journalism,1,  T    ,0140 - 0420pm,CHAM,3187,Bailey I,,, ,,,,,,,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,13,2,ENG
AFR,298,0,16317,Race and American Journalism,1,  T    ,0140 - 0420pm,CHAM,3187,Bailey I,,, ,,,,,,,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,13,2,COM
AFR,300,0,16288,Afro Cuban Feminisms,1,   W   ,0130 - 0420pm,WATSON,310,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,8,7,1,AFR
AFR,300,0,16288,Afro Cuban Feminisms,1,   W   ,0130 - 0420pm,WATSON,310,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,8,7,1,LIT
AFR,300,0,16288,Afro Cuban Feminisms,1,   W   ,0130 - 0420pm,WATSON,310,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,8,7,1,GSS
AFR,300,0,16288,Afro Cuban Feminisms,1,   W   ,0130 - 0420pm,WATSON,310,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,8,7,1,LAS
AFR,300,0,25346,Afro-Cuban Feminisms,1,   W   ,0130 - 0420pm,CHAM,1096,Benson D,,,"XLST,PRM",XLST,PRM,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",Permission of instructor required,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,12,3,AFR
AFR,300,0,25346,Afro-Cuban Feminisms,1,   W   ,0130 - 0420pm,CHAM,1096,Benson D,,,"XLST,PRM",XLST,PRM,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",Permission of instructor required,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,12,3,LAS
AFR,300,0,25346,Afro-Cuban Feminisms,1,   W   ,0130 - 0420pm,CHAM,1096,Benson D,,,"XLST,PRM",XLST,PRM,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",Permission of instructor required,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,12,3,LIT
AFR,300,0,25346,Afro-Cuban Feminisms,1,   W   ,0130 - 0420pm,CHAM,1096,Benson D,,,"XLST,PRM",XLST,PRM,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",Permission of instructor required,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,12,3,GSS
AFR,300,B,16340,Black Esthetics & Performance,1,  T  R  ,1215 - 0130pm,CHAM,1045,Amin T,,, ,,,,,,,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,3,12,AFR
AFR,300,B,16340,Black Esthetics & Performance,1,  T  R  ,1215 - 0130pm,CHAM,1045,Amin T,,, ,,,,,,,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,3,12,LIT
AFR,300,B,16340,Black Esthetics & Performance,1,  T  R  ,1215 - 0130pm,CHAM,1045,Amin T,,, ,,,,,,,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,3,12,LAS
AFR,300,B,16340,Black Esthetics & Performance,1,  T  R  ,1215 - 0130pm,CHAM,1045,Amin T,,, ,,,,,,,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,3,12,GSS
AFR,301,0,10004,Crit ThinkrsZora Neale Hurston,1,   W   ,0130 - 0420pm,CHAM,1003,Bowles L,,, ,,,,,,,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,14,1,AFR
AFR,301,0,10004,Crit ThinkrsZora Neale Hurston,1,   W   ,0130 - 0420pm,CHAM,1003,Bowles L,,, ,,,,,,,,,NONE,NONE,,,,No new attribute (Class of 2016 and later),,,,15,14,1,ANT
AFR,302,0,25841,Black Aesthetics & Performance,1, M  W   ,0805 - 0920am,CHAM,1045,Amin T,,, ,,,,,,,,,,,,,,,,,,15,5,10,AFR
AFR,303,0,20003,W.E.B. Du Bois at Large,1,    R  ,0140 - 0420pm,CHAM,1062,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,12,3,ENG
AFR,303,0,20003,W.E.B. Du Bois at Large,1,    R  ,0140 - 0420pm,CHAM,1062,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,12,3,LIT
AFR,303,0,20003,W.E.B. Du Bois at Large,1,    R  ,0140 - 0420pm,CHAM,1062,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,JEC,JEC,,,,"Justice, Equality, Community",,,,15,12,3,AFR
AFR,303,0,25849,W.E.B. Du Bois at Large,1, M  W  F ,1130 - 1220pm,CHAM,2196,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,JEC NONE,JEC,NONE,,,"Justice, Equality, Community",No new attribute (Class of 2016 and later),,,15,13,2,AFR
AFR,303,0,25849,W.E.B. Du Bois at Large,1, M  W  F ,1130 - 1220pm,CHAM,2196,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,JEC NONE,JEC,NONE,,,"Justice, Equality, Community",No new attribute (Class of 2016 and later),,,15,13,2,LIT
AFR,303,0,25849,W.E.B. Du Bois at Large,1, M  W  F ,1130 - 1220pm,CHAM,2196,Bertholf G,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,JEC NONE,JEC,NONE,,,"Justice, Equality, Community",No new attribute (Class of 2016 and later),,,15,13,2,ENG
AFR,320,0,25622,Growing Up Jim Crow,1,  T  R  ,1215 - 0130pm,CHAM,3196,Kelly H,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,0,2,-2,AFR
AFR,320,0,25622,Growing Up Jim Crow,1,  T  R  ,1215 - 0130pm,CHAM,3196,Kelly H,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,0,2,-2,EDU
AFR,320,0,25622,Growing Up Jim Crow,1,  T  R  ,1215 - 0130pm,CHAM,3196,Kelly H,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,0,2,-2,SOC
AFR,320,0,25950,Growing Up Jim Crow,1,  T    ,1215 - 0130pm,CHAM,2209,Kelly H,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,SOC
AFR,320,0,25950,Growing Up Jim Crow,1,  T    ,1215 - 0130pm,CHAM,2209,Kelly H,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,EDU
AFR,320,0,25950,Growing Up Jim Crow,1,  T    ,1215 - 0130pm,CHAM,2209,Kelly H,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,AFR
AFR,320,0,25950,Growing Up Jim Crow,0,    R  ,1215 - 0130pm,SLOAN,201,Kelly H,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,EDU
AFR,320,0,25950,Growing Up Jim Crow,0,    R  ,1215 - 0130pm,SLOAN,201,Kelly H,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,AFR
AFR,320,0,25950,Growing Up Jim Crow,0,    R  ,1215 - 0130pm,SLOAN,201,Kelly H,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,SOC
AFR,329,0,25901,Women&Slavery in Blk Atlantic,1,  T  R  ,0305 - 0420pm,CHAM,1003,Dennie N,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,AFR
AFR,329,0,25901,Women&Slavery in Blk Atlantic,1,  T  R  ,0305 - 0420pm,CHAM,1003,Dennie N,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,GSS
AFR,329,0,25901,Women&Slavery in Blk Atlantic,1,  T  R  ,0305 - 0420pm,CHAM,1003,Dennie N,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,15,15,0,HIS
AFR,330,0,20004,Gender&Develop Sub-Saharan Afr,1,  T  R  ,0140 - 0255pm,CHAM,1015,Harper-Shipman T,,, ,,,,,,,,,JEC SSRQ,JEC,SSRQ,,,"Justice, Equality, Community",Social-Scientific Thought (Class of 2016 and later),,,15,9,6,AFR
AFR,330,0,20004,Gender&Develop Sub-Saharan Afr,1,  T  R  ,0140 - 0255pm,CHAM,1015,Harper-Shipman T,,, ,,,,,,,,,JEC SSRQ,JEC,SSRQ,,,"Justice, Equality, Community",Social-Scientific Thought (Class of 2016 and later),,,15,9,6,GSS
AFR,360,0,25788,History of the Caribbean,1,  T  R  ,1215 - 0130pm,CHAM,2084,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,8,8,0,LAS
AFR,360,0,25788,History of the Caribbean,1,  T  R  ,1215 - 0130pm,CHAM,2084,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,8,8,0,HIS
AFR,360,0,25788,History of the Caribbean,1,  T  R  ,1215 - 0130pm,CHAM,2084,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,8,8,0,AFR
AFR,364,0,16384,Black Paris,1,  T  R  ,0140 - 0255pm,CHAM,1006,Fache C,,, ,,,,,,,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,10,9,1,AFR
AFR,364,0,16384,Black Paris,1,  T  R  ,0140 - 0255pm,CHAM,1006,Fache C,,, ,,,,,,,,,CULT LTRQ,CULT,LTRQ,,,Cultural Diversity,"Literary Studies, Creative Writing, and Rhetoric (Class of 2016 and later)",,,10,9,1,LIT
AFR,374,0,10553,Contemporary Race Theory,1,  T  R  ,0305 - 0420pm,CHAM,3084,Ewoodzie J,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,SSRQ,SSRQ,,,,Social-Scientific Thought (Class of 2016 and later),,,,0,0,0,AFR
AFR,374,0,10553,Contemporary Race Theory,1,  T  R  ,0305 - 0420pm,CHAM,3084,Ewoodzie J,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,SSRQ,SSRQ,,,,Social-Scientific Thought (Class of 2016 and later),,,,0,0,0,SOC
AFR,383,0,20006,Black Lit Theory: Afr Lit,1,  T    ,0140 - 0420pm,CHAM,3196,Bertholf G,,,"34,XLST",34,XLST,,,Juniors and Seniors only,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,CULT,CULT,,,,Cultural Diversity,,,,5,5,0,AFR
AFR,383,0,20006,Black Lit Theory: Afr Lit,1,  T    ,0140 - 0420pm,CHAM,3196,Bertholf G,,,"34,XLST",34,XLST,,,Juniors and Seniors only,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,CULT,CULT,,,,Cultural Diversity,,,,5,5,0,ENG
